text,negative_yn_self,distortion_yn,magnitude,distortion_category,negative_yn.y,thoughtcat,userid,Positive,Negative
Feels bit gay watching the wolves match only to be sitting here shouting at fabio aurelio for having the tag on his back showing,2,2,,,yes,1,f8708568eff1535c85247b28dc126f9b,1,-2
"Feels like sticking your head in blender whilst adding lemon juice and salt.. hope it hurts, because I'm tired of your shit...",1,2,4,,yes,1,216924ec52555944d3d64c52390b359f,3,-3
Feels quite bit better for now. I'll never grow tired of hearing you say those words. :) my mom is back and seems fine Yay :D \n<You're Mine,2,2,,,no,NA,NA,3,-2
"Fencing was AWESOME. //sigh Fenced well tonight, but left with some punishment. Got hit really good twice by other peoples: battle scars to be for sure. One on the neck, the other just under my arm. OUCH! >.> Roxanne was actually there tonight, which was huge surprise and simply incredible. Big thanks for coming Roxanne. Consider it guarantee that i'll come see one of your plays sometime in June here. ;)",2,2,,,no,NA,ee3c3dd296d5870bb0559c70d4096402,4,-2
Finally back! feels good to be home although i must admit days of vacation thanks to the flood wasnt so bad,2,2,,,yes,1,aed86a3085a364f5484679649f064467,3,-2
"finally decided to complete assasins creed and the line before the credits was quite appropriate /what the fuck?/""""",2,2,,,yes,1,4d7ae0617845c6b30eb85b55a991f4c5,1,-3
"Finally FB Friends its Freaking Friday woo hoo and it is beautiful outside! School bound day already half way there, taking detour to harrisburg after class Sweeeet :D",2,2,,,no,NA,009d96a823b6f6c085c092fb177491f6,4,-1
"Finally FB Friends its Freaking Friday woo hoo and it is beautiful outside! School bound day already half way there, taking detour to harrisburg after class Sweeeet :D",2,2,,,no,NA,009d96a823b6f6c085c092fb177491f6,4,-1
"Finally home. Now all that's left to do is read books, watch movies, and wait for interesting persons to appear to talk to!",2,2,,,no,NA,82e932005d8c94bb93bcb54fa19f421c,3,-1
"Finally home. Now all that's left to do is read books, watch movies, and wait for interesting persons to appear to talk to!",2,2,,,no,NA,82e932005d8c94bb93bcb54fa19f421c,3,-1
Finally making Facebook page so can be more connected to my family. I've missed you guys these last monthes.,2,2,,,no,NA,dbcef4b3cf47ca1e473f71e05347de19,1,-2
"Finally making some progress in the / Let's start band/"" domain. Thank you Matt for the bass player pick-up. Thought we'd remain DIY two-piece for awhile. Surely",2,2,,,no,NA,9963eb029cd100ade5c37f057b7b13e9,2,-1
"finds it very amusing how child's mind is like sponge. They are very gullible. Sorry huns, but the fish will not crawl out of the fish tank.",2,2,,,yes,1,98bcd7e7d81d569867b11f4c99f61d78,3,-3
Finished canning jars of cherries and now am making cherry pies and freezing them..lots of work but satisfying....:),2,2,,,yes,1,bfc3de1ae3ba2894b44311621bdd26c8,2,-1
"finished his essay. Total editing time = minutes. At least the Imaginary Artaxerxes, the Imaginary Hecatomnids, and the Imaginary Insane Bagoas are gone.... for now..... *zombie eyes*",2,2,,,yes,1,880df2e377e9b8612b5fd08eca1880f7,1,-1
"Finished the book last night :) It was so great but sad,romantic, and funny. got GTA IV today... It really sucks. still prefer GTA San Andreas the best :) Would have beaten that already but I'm having trouble with the mission to get your flying liscense X_X",2,2,,,no,NA,8c393982479748c5a53acaa7a3717c71,4,-4
"finishing making secret stuff!! and then wrapping the secret stuff!! and then doing things and stuff, and then early Christmas!",2,2,,,yes,1,55a72284594fdda49b22a6610b9b91d6,2,-1
"First class today is at : . Currently listening to Iron and Wine (thanks, Kelly!) and doing homework.",2,2,,,yes,1,cea00424ced413c108d878b1a14f3316,3,-1
First day back from the weekend and things are already getting interesting. wonder what news tomorrow will bring?,2,2,,,yes,1,802ee999690da0796de8f001fd30c658,2,-1
"foods, then droppin off my application to Cumbi's! :D Hurray! Hopefully, they'll hire me. It would be nice lol",2,2,,,no,NA,57118d9a71e91b6568471ffbd7077415,3,-1
"For all the times you went too far, for all the cuts that lead to scars, whatever made you what you are, blame you.",2,2,,,yes,1,6262f9ea246e00408561aa9a73c49175,1,-2
"FOR THE ST TIME IN LIKE YEARS I'M NOT EVEN SLIGHTLY HYPER! ITS KINDA CREEPY CUZ IM ALWAYS AT LEAST SLIGHTLY HYPER, USUALLY MORE! BUT NOW...",2,2,,,no,NA,a7a3af125074cb806a200f51ea7e10bf,3,-1
"Freezing cold room + burrowing into pile of blankets = < - so cozy...it'll be hard to wake up in the morning, already know LOL",2,2,,,no,NA,66495ec54feb9e2399db05a67a80f2c6,2,-2
"Friends are like rays of sunshine that brighten your heart and warm your soul, special gift of momentous rewards!",2,2,,,no,NA,dcbe08425f5edef5e5c1053f21e83640,4,-1
"Fuck you to those who put up the major parts of Skins as their status... well done, you just ruined it for me and whoever else didnt get to see it last night.",1,2,3,,yes,1,4908adae6cf09defb838925defcc5e61,1,-1
"GAAAAHHH!!!! HATE MOOD SWINGS!!! >.< ONE MOMENT YOU WANT TO HIDE IN CORNER, THE NEXT YOU WANT TO GO UP TO SOME RANDOM PERSON'S DOOR AND DANCE THE POKA BECAUSE YOU HAVE TO MUCH ENERGY!!! (exageration, would never force someone don't know to watch me dance the poka.)",1,2,4,,yes,1,d2fd0e6603da3520e02315e11b009fbf,3,-5
Geh....woke up at : in case my boss called me in for work since was backup....I didn't so that was waste of sleep.,1,2,2,,yes,1,b5efdb17945bc5ac2504e6c0c70f41b1,1,-2
"Generation nothing, Nothing but dead scene, Product of white dream, am not the singer that you wanted but dancer, refuse to answer, Talk about the past sir, Rooting for the ones who want to get away! Keep running!!!",2,2,,,yes,1,9ac633881b30028b70f848b1278644b0,2,-4
Getting up and ready for another Bountiful Basket Co-op Day!!!...Hopefully the snow won't be problem for our truck and that we good some great volunteers...The past few times its been so nice!! love being part of the whole thing...:),2,2,,,no,NA,bfc3de1ae3ba2894b44311621bdd26c8,4,-2
"Go to your profile then look at the top friends that are in the sidebar. They are now your team in the upcoming Zombie Apocalypse. -How screwed are you? got Katelynn Marie Martin, Kevin Bogdan, Kate Cunningham, Katelynn Commer and Devin Donaghy....I may just live. Barely, got some cuts and bruises but may just live",2,2,,,yes,1,5c31d7d80e78643cd5289acec0561d77,2,-2
Go to your profile. The first five friends on the sidebar are your team for the upcoming zombie apocalypse. How screwed are you? Elizabeth Tomlinson Andrew Vessey Kevin Koops Daniel Skaggs Riley Burkart Easy victory!,2,2,,,yes,1,b5efdb17945bc5ac2504e6c0c70f41b1,2,-1
god damn it i studied my ass of for the chem term test and i only got % the only consolations is that the average for all the classes was % but omg all that work for C grade jeeze,1,1,unfair comparison,,yes,1,bc619f7cbbdb1806e386554e4b33a439,2,-2
"Goddess of Life, cover me with your silvery light! Help me overcome this challenge face today! Let me be victorious in my day! Guide me through the day!",2,2,,,no,NA,0724fe854bd455061ba84efecdeff469,2,-3
"Going back home for the holidays? Got my number or something, contact me. If number of us are around we should have an awesome grp get together thingy like we did awhile back @ Hyashi's! :D",2,2,,,no,NA,ee3c3dd296d5870bb0559c70d4096402,5,-1
"Going to the outskirts for the day. If needed to be contacted, please tweet /lol emergency sorta/"" or call - -IHA-TEU which will then triangulate your location and forward you to my main celluar function after completing series rigirious brain tasks. Good Luck ;)""",2,2,,,yes,1,7f1e19cf6c828b2b6a6953fa127a0351,3,-2
"Golf breaks are good thing, then returning to get into the swing of things is even better!!!! ? my golf game :) SN: GOOO GATORS!!!!",2,2,,,no,NA,23cbbe03a89344129e1a6d8419a66d23,4,-1
"Good gracious, it's nice to have internet back and type on real keyboard. It's been long week. I'm sure it'll take me little while to catch up with everything, but must compose myself first.",2,2,,,no,NA,2fba0f9dccc84f3516d8b553426af527,3,-1
Good luck to all with exams tomorrow or just upcoming! If you have any uncertainties and//or question please feel free to raise them to me. can not guarantee the effectiveness of any help can give but will certainly give it and do the best can.,2,2,,,yes,1,71469de066cfab67bc4463ef1a74ba25,4,-1
good morning monday! went to leave for work and my car wouldn't start. hopefully today will get better. =),1,2,1,,yes,1,c125b54a3d0931c9088487082c8dcb3a,4,-1
"good times for chance see, the luck i've had can make good (wo)man turn bad...so please please please, let me let me let me, let me get what i want.",2,2,,,yes,1,7175a46eaf9d0a6e00c562bfaa614360,4,-2
Got a painful reminder of why I REALLY dislike my little sister...and why I have to keep my room locked at all times...,1,2,4,,yes,1,NA,1,-4
Got an early birthday present :D Finding out will not go blind in my left eye only have some other disorder that wont cause any problems :D,2,2,,,no,NA,f358b75c71d85c91ec0452c6114e3b15,2,-2
"Got some new shoes and top from Cheltenham (: Got the top i wanted aaages ago, and it had been reduced from ?? , to ?? :D",2,2,,,no,NA,4908adae6cf09defb838925defcc5e61,2,-1
"Got some really awesome presents today from Eden Brooke Hewins~ ^_^ Love you Eden! ? -hugs- Also, the CDs ordered finally arrived.. I'm hoping my neighbours like Bloodsimple and Children Of Bodom..",2,2,,,no,NA,eaeabcfe25866f0455d349bae2450d88,5,-1
"Got ticket to escape the fate saturday so excited :) taking weight training, humanities, debate and AP psychology next year. i miss my friends at noobfeed and deviantArt x.x",2,2,,,yes,1,8c393982479748c5a53acaa7a3717c71,4,-2
"Gotta tell my dad about my tattoo soon... So, I'd like to know, who's gonna come to my funeral after do it?",1,2,2,,yes,1,3ac58ad39d81acfe169aadc4815effe6,2,-1
"Grams: What colors did you paint with? Tori: Ugh gruuuee... Grams: You mean blue. Me: No grue. Green and blue. Gosh grandma, keep up.",2,2,,,no,NA,6262f9ea246e00408561aa9a73c49175,2,-3
"Gray Matter, The Adolescents, Dag Nasty, & The Descendents. Four of the greatest bands ever to wander the fuckin earth",2,2,,,yes,1,478b92a554c6ef2c8c9a4bfba3a9886b,3,-1
Grrr...I am really irritated. My son's school is telling me they are going to suspend him because he had physical contact with another student (that resulted in my son getting hurt) during basketball game...last Friday (suspension is tomorrow).,1,2,4,,yes,1,14f57af466dd9a6765721dda24d60214,2,-4
Had a great day today in Africa!!! saw the wealth and the poverty. Met Afrikaans and met Africans. Ha look it up if you don't know...,2,2,,,no,NA,NA,4,-2
"had couple snow flurries, enough to get the kids excited, Lucky puppy's not sure what it is.....me, I'm just thankfull it's not stick to the ground and seems to disappear as fast as it comes :)",2,2,,,yes,1,dcbe08425f5edef5e5c1053f21e83640,3,-1
had good night last night :) and lovely day today with her family at Bolton Abbey and is really happy to have such amazing people in her life,2,2,,,yes,1,64463aa93c9145fa0724a9e89ea7be2a,3,-1
"Had great day taking the kids swimming then to mcdonalds just to go to do some grocery shopping now we are cleaning up for family movie...Too bad that it's not Friday today, because Really want to stay home tomorrow and keep having great time with my kids!..:)",2,2,,,yes,1,bfc3de1ae3ba2894b44311621bdd26c8,4,-2
"Had great few days hanging out with Suzy Babbitt, Jenn Oldenburg, and Karissa Snelling ..you guys make me laugh too much haha good times, good times! :)",2,2,,,no,NA,66495ec54feb9e2399db05a67a80f2c6,4,-1
"Had great few days hanging out with Suzy Babbitt, Jenn Oldenburg, and Karissa Snelling ..you guys make me laugh too much haha good times, good times! :)",2,2,,,no,NA,66495ec54feb9e2399db05a67a80f2c6,4,-1
Had great time at Carrie's baby shower! Minus the whole being deathly sick thing. Baby showers make me < babies :),2,2,,,yes,1,c0289bdb4cd4eda90653b2c84af61e03,4,-3
Had great time tonight w// John. Went to bar where friend was DJing. Then went to gay bar and got hit on by every guy there. It was awesome.,2,2,,,yes,1,a060ba39cf74d8b9f97354e3f83df67a,4,-2
"Had sleepover at Sam's house then went to see here at karate challenge then we all went to IHOP! loved it! /I didn't know sherlock holmes was guy!. Where's aunt Jackie? Uh..she's practicing her pole dancing!. I'm so devious in my own mind! Your own mind? Who's mind are you usually in?! Awww you looked so cute as baby...what happened?/"" XD""",2,2,,,yes,1,8c393982479748c5a53acaa7a3717c71,5,-3
"Had slight dispute with Mi Madre, and it seems like I'm puking my guts out every hour....This is going to be one helluva night, can already tell :(",1,2,4,emtional reasoning,yes,1,0c5d06511ef79fba34da417e8c751fff,2,-3
"Had the worst day ever so far.... /friend/"" told me shut up for no reason at yw when i did nothing! then she slapped me as hard as she could on the arm..plus i have already been having horrible day so started crying and couldn't stop for like mins. Staunz",1,2,4,,yes,1,8c393982479748c5a53acaa7a3717c71,3,-4
"had wonderful, beautiful day. It included love, ice cream, yoga, love, friends, indian dinner, key lime pie, love, and family. <",2,2,,,yes,1,NA,4,-1
"Hah... Yesterday was fun in Ann Arbor, but I'm pretty sure the rest of the week will suck... So if you need me, I'll be asleep or playing video games. :P",1,1,3,catastrophizing,yes,1,05a1a1b67e3d7a923f9d0ee5502757c0,3,-2
"Haha, adding /in bed/"" at the end of fortune in fortune cookie worked // for me so far :o The best one being: You will be successful in whatever you do""",2,2,,,no,NA,1ba6f24e9343b1bddb1516e3c09a572f,3,-1
Half of my power still doesnt work in my house and my rent money was stolen! Why do keep giving second chances when know am not suppose to cast my pearls before swine?,1,2,3,,yes,1,b15cf300b5693210682e36cfe5f9789b,1,-3
"Halloween party was AMAZING! :D had blast! Haha wore dress and make up, would wear it to school sometimes but....It is little too short :)",2,2,,,no,NA,8c393982479748c5a53acaa7a3717c71,4,-1
"Halloween party was AMAZING! :D had blast! Haha wore dress and make up, would wear it to school sometimes but....It is little too short :)",2,2,,,no,NA,8c393982479748c5a53acaa7a3717c71,4,-1
Happy Bday to me! Woot woot. years old. It is going to be fun tomorrow. idk why. lol. Overall was good enough day.,2,2,,,yes,1,c70b15854118907c8f0a234e2ba44bbc,4,-1
Happy Independence Day every ne.... we must hope pray for the betterment of Pakistan... letx in our hands together...!!!!,2,2,,,yes,1,49fb9fce8f4dc022318b8cd432aad8b6,3,-1
Happy Seahawks Day!!! Seattle ( - ) @ Oakland ( - ) Happy Sounders Day Too!! PLAYOFFS!!! LA @ Seattle,2,2,,,yes,1,8b6ceafaf2ea6bd34f26ff463156363c,3,-1
Happy st Birthday to my amazing wonderful beautiful big sister Heather Morgan! Happy Valentines Day < love you Brandon Gilmore!,2,2,,,yes,1,c0289bdb4cd4eda90653b2c84af61e03,5,-1
"Happy Thanksgiving everyone!!!! am so grateful beyond words for each and every single one of you. Even those who are mad at me,Hate me,are no longer friends with me. am grateful for all the memories have with you all. love all of you. Thanks for standing by me in the worst of times. will be happier for you all. promise with all my heart,soul, and being.",2,2,,,no,NA,8c393982479748c5a53acaa7a3717c71,3,-3
Happy to be bringing the day to an end- nothing like putting in full days work (and then some) and feeling like you accomplished nothing :(,1,2,2,,no,NA,29cda473b52e1c75fbfe958ed3aec565,2,-2
"Hard to explain to someone who has no clue. It's daily struggle being in pain or feeling sick on the inside while you look fine on the outside. Please put this as your status for at least hour if you or someone you know has an invisible illness (Anxiety, Bipolar, Depression, Diabetes, LUPUS, Fibromyalgia, MS, Arthritis, Cancer, Heart Disease, Epilepsy, Autism, ADHD etc.) / Never judge what don't understand i know which of my real friends will copy this""",1,2,2,,yes,1,dcbe08425f5edef5e5c1053f21e83640,3,-4
Has an icky tummy bug =( Going back to sleep for while then spending the rest of the afternoon cleaning//organizing my room! Watching more of The Office with Brandon tonight < love him so much! He's amazing! Happy months baby! =D,2,2,,,no,NA,c0289bdb4cd4eda90653b2c84af61e03,4,-4
Has anyone else seen that commercial where the guy gets hit in the crotch with ferret? just did. LMAO!!!,2,2,,,yes,1,0b12516100c16f779b152858619786ff,4,-1
"has book about the brain, lurking in the back of mine....ugh, if only i had more time. and organizational skills.",1,1,3,regret orientation,no,NA,5cb87ba2d48f5de9b907567fb9fb5317,1,-3
"has busy day tomorrow, got pile of ironing almost as big as the ceiling :( need to dye my hair as its not blue, more purple with brown roots!! Attractive!! And have to defrost my freezer... very boring... but first its Friday!!! lets get drunk :D",1,2,2,,no,NA,64463aa93c9145fa0724a9e89ea7be2a,3,-3
has chorus audtions for Tuscarora next year and is nervous as freaking hell right now xP hope at least someone will wish me luck haha.,2,2,,,yes,1,ab46b30d5f936aa0c0749b9fc45db42f,3,-3
Has created star (well smally smalls thinks we did and that is more imporftant probably than convincing scientist) and thats on top of loverly Imbolc meal with unexpected but much appreciated guests,2,2,,,yes,1,2549774d68d7ccbcba069afb45c7e237,4,-1
has finished reading 'Words Fail Me' and feels quite accomplished. Now to finish the last eight chapters of 'Secret Life Of Bees',2,2,,,yes,1,3e6f69fc89da71e8237c717ac218677b,2,-1
"Has no idea what im feeling right now. Ugh am so sick of people messing with my friends! Idc if they think they know them or anything. will protect my friends and stick up for them! Its perfectly simple don't mess with anyone know otherwise u'll in hell of an argument. If any of r having trouble whether i talk much,or know that well tell me! Cus will go talk them!",1,1,4,overgeneralize,yes,1,8c393982479748c5a53acaa7a3717c71,3,-4
"Has no idea what im feeling right now. Ugh am so sick of people messing with my friends! Idc if they think they know them or anything. will protect my friends and stick up for them! Its perfectly simple don't mess with anyone know otherwise u'll in hell of an argument. If any of r having trouble whether i talk much,or know that well tell me! Cus will go talk them!",1,1,4,overgeneralize,yes,1,8c393982479748c5a53acaa7a3717c71,3,-4
has noticed that watching Doctor Who consistently puts me in the mood to write. wish had something was working on that fit that genre//tone more so that the mood could properly carry over....,2,2,,,no,NA,55a72284594fdda49b22a6610b9b91d6,1,-1
"Has returned home from the xmas craft fair and can safely say, evening craft fairs with open mic night are none too sucessful mix",2,2,,,yes,1,2549774d68d7ccbcba069afb45c7e237,2,-1
has the tv remote on Friday!! And is watching briliantly mind numbing cabbage tv - god i've missed it!,2,2,,,yes,1,7e450a79b8bacd420727a5dd9305f8d8,2,-3
Has written twoo weeks worth of journals I'll have to spell check and print them tomorrow as my brain is now well and truely cooked,1,2,2,,yes,1,2549774d68d7ccbcba069afb45c7e237,1,-1
"hated everybody at the fair, then viewed them non-judgementally in an exercise to aleve his frustrated, angry judgemental-ness. It worked, but only when he forgot he was supposed to be upset in the first place and all that, and had bit of fun. Oh well, I've learned this lesson before, I'll learn it again",1,2,4,negative filter/ inability to disconfirm,yes,1,3cc0db55763257a91f1947ed77d8aac5,2,-5
hates having to run around all day feeling drained of life right now tired and can't sleep that well too exstied wa only less that 3 days,1,2,3,,yes,1,NA,1,-4
hates having to run around all day feeling drained of life right now tired and can't sleep that well too exstied wa only less that 3 days,1,2,3,,no,NA,NA,1,-4
"Have been to Sainsburys and bought so much dead animal it's untrue, have Ocado delivery coming tomorrow ... let the party begin! :)",2,2,,,yes,1,41ef345410ba421410cb4d09c331aec3,2,-3
"HAVING BEER IN HONOR OF MY DAD,SORRY IT'S NOT BUDWIESER OLD MAN BUT IT WAS VIRTUALLY FREE,THANKS TO MY GIFT CARD.LOL",2,2,,,yes,1,157b749adf2608d8da539c9191f9c360,2,-2
Having to hand out candy to obnoxious kids and high schoolers? Uber sucky. Mooching off 'leftover' candy? Still doesn't make having no social life okay.,1,2,2,,no,NA,60e3e76252eeacb2304d45836a7d8de8,1,-3
"Hay Mahn Htun, Sofia T. Carpio, Fatemeh Elahi Please, check your college mailbox! Hopefully, you have something there ;)",2,2,,,yes,1,4d922298b5ea914d186f6a2b31252320,2,-1
"Hayden: bet you can't get into my laptop.. My password's characters long Me: Mmk, gimme sec (types password) ********************* Hayden: How'd you do that? Me: What can say, I'm talented. LOL",2,2,,,yes,1,216924ec52555944d3d64c52390b359f,2,-1
"Heading to the memorial centre, check out Wetaskiwin's latest alcohol bylaw. Check it out Show starts at lol",2,2,,,no,NA,9dd7f7334805e00a32bd69354b722aac,2,-1
"Heigh ho, sing heigh ho, unto the green holly; most friendship is feigning, most loving mere folly: Then, heigh ho, the holly! This life is most jolly.",1,2,1,,yes,1,3ac58ad39d81acfe169aadc4815effe6,5,-2
"Hello, all! I'm going to leave for camp on Sunday, and I'll not be truly back until mid-August, so figured I'll take advantage of the hole in your hearts my leaving will cause to score some mail off y'all. So, when the loneliness becomes too much to bear, just send letter to: Claire Walter Appel Farm P.O. Box Shirley Road Elmer, NJ Xie xie!",2,2,,,no,NA,dc20f5b91f427d65c9fdbab6d45c8bc2,2,-2
"Her whole life had been lived to background of music, like great river flowing through her spir, highs & low blending into magical rhythms she could never quite express aloud. Often she would let them run free in her mind when she played or dreamed or composed. Now for the first time she let the torrent she felt in her soul run free in her body",2,2,,,no,NA,db7f1b0130b2138e13b7bbca9cc63823,3,-2
"Here's task for you. want all my fb friends to comment on how you met me. After you comment, copy this to your status so can do the same to you. You will be amazed at the results you get.",2,2,,,no,NA,29cda473b52e1c75fbfe958ed3aec565,2,-1
Hero worship officially weirds me out. Most people never notice truly extraordinary individuals right in front of them because they're too caught up with how ~shiny~ and ~amazing~ celebrities look in the spotlight.,2,2,,,no,NA,4764518d32334248e6ebbf681a18fd0c,3,-2
"Hey everyone you just lost the... OK this is just getting old, but I'm pretty sure you all lost any way.",2,2,,,yes,1,088bf0ed841bcc366475b3975eb1b9d2,3,-1
Hey guys......Rosie (my dog) just died. My dad and had her put to sleep around because her kidneys were at % functioning or lower. :( So if I'm not at school tomorrow that's the reason. We knew something was wrong with Rosie earlyer this week....... my family and were right. If you want to know more just ask. (she was - yr. old.),1,2,5,,yes,1,84d1a2573b06e86b12370ce2c7563117,2,-2
Hey guys......Rosie (my dog) just died. My dad and had her put to sleep around because her kidneys were at % functioning or lower. :( So if I'm not at school tomorrow that's the reason. We knew something was wrong with Rosie earlyer this week....... my family and were right. If you want to know more just ask. (she was - yr. old.),1,2,5,,yes,1,84d1a2573b06e86b12370ce2c7563117,2,-2
"Hi, next two years of happiness. got braces this morning. Bye, next two years of happiness. Kidding- they aren`t that bad... just have to cover my mouth when talk for the next two years. :P",2,2,,,yes,1,7959e48a5c9869a5eb172935f082daa4,3,-2
"Hm'k, truthfully, Naka wasn't all expected it to be. But still had good time. Science City was lot of fun, and Kabuki's, too. Plus, got to spend the weekend with my most bestest friends. So, it's all good~ c: Next on the FunTiems calendar: Day of Dance with Gill and Chase. :",2,2,,,no,NA,NA,3,-1
"Homework over break kinda defeats the purpose of the break. XP Ah, well. Just couple more days of classes and I'm done, so can deal with it.",1,2,2,,yes,1,cea00424ced413c108d878b1a14f3316,2,-1
Hopefully will remember // as the day became employed again- have an interview at Sears this evening. Wish me luck!,2,2,,,yes,1,29cda473b52e1c75fbfe958ed3aec565,3,-1
"Hoping to get lots of writing done today - cleaned the house yesterday so wouldn't have any excuse not to write! If all else fails, at least the house is clean, guess.",2,2,,,yes,1,0e3fdb89c7706b13891170ab2a9017c7,2,-3
"Hours have passed and have seen the terror am stuck between. Who I've been and who I'm thinking could be. was listening to battle begin, wondering which side would win",2,2,,,yes,1,3e6f69fc89da71e8237c717ac218677b,1,-2
"How can you see into my eyes like open doors? Leading you down into my core where I've become so numb. Without soul, my spirit sleeping somewhere cold until you find it there and lead it back home. Wake me up inside. Wake me up inside. Call my name and save me from the dark. Bid my blood to run before come undone. Save me from the nothing I've become.",2,2,,,yes,1,cea00424ced413c108d878b1a14f3316,2,-2
how come kids hate learning new language??? i find it to be really fun! but it sucks because no one else likes it...,1,2,2,,yes,1,a8b2c778af65ca2c46306554f338cacb,4,-4
"How do you say, /I think that you will like it/"" or /""I think you ate it/"" or something like that in Latin? have an awful time writing emails and need some help.""",1,2,2,,yes,1,fbd681e79ebca2cd9509218403f23ec6,2,-4
"How else can afford solid gold Humvee??? And diamond-studded swimmin' pools, these things don't grow on trees! So all ask is everybody please, don't download this song!",1,2,2,,yes,1,82e932005d8c94bb93bcb54fa19f421c,4,-1
"How is it always that on Ben's days off end up running around all day?! Not at all saying he should do them, sometimes just wish we had more time together :(",1,2,3,,yes,1,29cda473b52e1c75fbfe958ed3aec565,2,-1
How many mgs of melatonin does it take to make Mackenzie fall asleep? Next time I'm just going to take the whole bottle...,2,2,,,no,NA,e56015a5c1a33cc7a99708881d2194a9,1,-1
"how many of us really know everybody on our FB friend list? Here's task for you... want all my FB friends to post how they met me. After you comment, copy this to your status. Should prove interesting and you'll be amazed at the responses you get :P",2,2,,,no,NA,65266a09dc3d274bed54447cf4565392,2,-1
How many people know that like hugs? (I don't usually show this side to people as am VARY self conscious about how others will interpret my actions,1,1,2,mind-reading,yes,1,0d4a51e22f36151b2e435ce3fd4eb6f9,3,-1
How to catch mice in the garden the K'Zinti way: Find mice smell ... Follow smell to vicinity of mouse burrow ... Sit patiently and wait for mouse to emerge? No! Dig 'em out!,1,2,2,,yes,1,41ef345410ba421410cb4d09c331aec3,2,-1
"How wish, how wish you were here; we're just two lost souls swimming in fish bowl, year after year. <",1,2,2,,yes,1,NA,1,-1
"Huge congrats to my sis and bro-in-law, Doris and Mario Hernandez on the arrival of their perfect little baby girl last night, th sep at . pm, weighing . kg and . tall. So proud of my sister, she did so well! and baby girl is beautiful! :) <",2,2,,,no,NA,NA,4,-1
"I < my big sis! :) And My big Brother! And my amazing Mom. And my Dad. :) And my best friend and bf . . . and < you too, whoever you may be.",2,2,,,yes,1,e076953cd3fcf8927b8f21574c0890f3,3,-1
"I ain't got no fight in me, in this whole damn world. So hold off. She should hold off. It's the one thing that I've known.",1,2,2,,no,NA,e9970fe8848e9505b52d414d81611de8,1,-3
"i already know that sleep is mandatory for neurogenesis but others are seen as more successful and hardworking than me since they stay up, soooo goodbye sleep hello success ..... :( i guess...???",2,2,,,no,NA,a8b2c778af65ca2c46306554f338cacb,3,-2
"I am feeling better. understand everything. will always be there for her as friend. understand everything now. Kat, don't be hating yourself. It is not your fault. Not my fault. It was just not meant to be right now. will always be there to help you. just needed day to myself. To just vent and think. And always was going to be your friend. It hurt but know it was needed. Thank you.",1,2,4,,mixed,1,c70b15854118907c8f0a234e2ba44bbc,2,-4
"I am hoping that there is a gate and and a house where there shall be no darkness nor dazzling, but one equal light; no noise nor silence, but one equal music; no fears nor hopes, but one equal possession; no ends nor beginnings, but one equal eternity . . . .",2,2,,,no,NA,NA,2,-3
"I am not here to be treated like i dont exist or dont matter. If you don't care about me, let me know, and i'll cross you off my mental list of people i give shit about.",1,1,4,mind-reading,yes,1,4908adae6cf09defb838925defcc5e61,2,-3
"i am only doing this one because fp to you sophie davies, you have very good talent and should not waste it - i refuse to do anymore!",2,2,,,no,NA,f8708568eff1535c85247b28dc126f9b,5,-2
"I am sexy, beautiful and have the perfect body. am everyone's first choice, but I'm ME and don't pretend to be anyone else. You may not be proud of you but like me you are proud of who am TODAY and EVERYDAY!! MAY NOT BE EXACTLY WHERE WANT TO BE, BUT THANK GOD THAT HE MADE ME. Copy this and post it to your profile if you are proud to be arrogant and perfect.",2,2,,,no,NA,cd35474fa3c10b9a5eb16c1e7d825fcc,4,-3
I am sore! Worked it out today. I'm tryna give these bitches another reason to hate me. One love fam!,1,2,2,,yes,1,19f41b6facd7a78c3ceef4fec559cda7,4,-4
I am trying very hard not to spontaneously combust at the horrific 'comedy' that whatever obsequious creature made into the Radiradirah television programme.,1,2,1,,yes,1,968157017daec34ee86050fe9bd72293,1,-4
i am waking up at four tomorrow for last minute black friday plans. because i am crazy girl who overestimates her powers of staying awake.,2,2,,,no,NA,5f86969fe97dd82aba8a683fe7ce6460,1,-2
"I been watching Syd play /Five/"" on Call of Duty: Black Ops for the past two weeks and finally decided to play today. You know it is sad if get more kills on /""Five/"" than bunch of supposed veterans my first time playing. All have to say is.... /""WATCH YOUR STUPID DOORS!/"" ...Stupid people opening additional areas instead of watching their doors.""",1,2,2,,yes,1,98bcd7e7d81d569867b11f4c99f61d78,2,-4
"I can't get to sleep i think about the implications, of diving in too deep and possibly the complications. Especially at night i worry over situations, know i'll be alright perhaps its just imagination",1,1,3,what if..,yes,1,cd35474fa3c10b9a5eb16c1e7d825fcc,2,-4
"I can't tell you what it really is, only what it feels like, and right now it feels like steel knife in my windpipe",1,2,2,,yes,1,4908adae6cf09defb838925defcc5e61,2,-2
"I can't wait to get out of here, but when leave nothing's going to change probably. It'll be the same dramas and the same stupid hang-ups, just with different people in different place.... have so much to look forward to ://",2,2,,,yes,2,3ac58ad39d81acfe169aadc4815effe6,1,-3
"I cannot believe my eyes. How the world's filled with filth and lies. But it's plain to see, evil inside of me is on the rise...",1,1,3,negative filter,yes,1,05a1a1b67e3d7a923f9d0ee5502757c0,1,-4
