text,userid,negative_yn_self,distortion_yn,quote,magnitude,distortion.category,negative_yn.y,Positive,Negative
"Church, home, nothing else. Might go on walk. Putting off the other research until tomorrow and Tuesday.",cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,1,-1
"Employers are just going to have to get over the fact that they will have to hire people who have little to no experience. If they don't, then when the experienced generation grows old and dies, no one will be able to take over their jobs because they didn't have any opportunity to learn how to do the jobs. So the global economy will be obliterated and humanity will be thrust back into the Dark Ages.",cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,1,-2
"Every time get new pair of shoes, take one out of the box, look at it, and think /Are my feet REALLY this big??/"" Then double check the size on the box and in the new shoe and my old one to make sure they all agree. Then put the new one on and what surprise",cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,1,-1
"First class today is at : . Currently listening to Iron and Wine (thanks, Kelly!) and doing homework.",cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,3,-1
"How can you see into my eyes like open doors? Leading you down into my core where I've become so numb. Without soul, my spirit sleeping somewhere cold until you find it there and lead it back home. Wake me up inside. Wake me up inside. Call my name and save me from the dark. Bid my blood to run before come undone. Save me from the nothing I've become.",cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,2,-2
I cannot believe that it is August already and that will begin my second year of college in just over two weeks.,cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,1,-1
"I was sure by now God You would have reached down and wiped our tears away, stepped in and saved the day. But once again, say, /Amen",cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,2,-4
"I'll be wakin' up early, long before the su-un, long before the su-un. Anybody that knows this song, who does it?!?",cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,2,-1
In the middle of hour break between classes. Finishing up notes and skimming reading assignment. Blah. Might go see about testing out of couple of classes. Hmm..... Then just hanging out until English.,cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,1,-2
is going to drink one large cup of coffee and then tackle the growing pile of homework.....it was nice knowing you. O_o,cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,3,-1
is in great mood for writing: cranky and sleep deprived. Now all need is the concentration needed for complete literary analysis of an Edgar Allan Poe short story and the skill to write four page paper about it.,cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,3,-2
It's your life. Whatcha gonna do? The world is watchin' you. Every day the choices you make tell who you are and what your heart beats for. It's an open door.,cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,1,-1
"Lab in about an hour. Mr. Turner: /Be sure to have your gloves and goggles today because you will be handling things that could burn holes in your clothes./"" Whoo.""",cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,1,-1
Last day of classes!!! Textbooks still for sale. I'm broke and begging. Someone please by those things. Please? It's good deal. promise. Or direct me to someone who will by them.,cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,3,-3
"My phone's been acting weird for the past couple of days, so if anyone called or texted and haven't replied, it's because haven't received it. promise I'm not ignoring you. :)",cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,2,-2
"So two wrecks that caused minute trip to be an hour and ten minutes long which resulted in two NDEs, one headache, and one missed class later, am at school. What morning. need coffee.",cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,1,-2
"Some see prisoner alone before his judge with no one to defend him. Some see victim beaten and abused with all the world against him. Some see martyr carrying his cross for what he believes. Some see hero who set his people free. But see love. see love, light of Heaven breaking through. see grace. see God's face shining pure and perfect love when see You.",cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,4,-4
"Up and ready (I think) for first day of classes this semester. When get home, I'm going back to bed. For now, coffee. Lots of coffee.",cea00424ced413c108d878b1a14f3316,2,2,,NA,,no,1,-1
What can take dying man and raise him up to life again? What can heal wounded soul? What can make us white as snow? What can fill the emptiness? What can mend our brokenness? What restores our faith in God? What reveals the Father's love? What can lead the wayward home? What can melt heart of stone? What can free the guilty ones? What can save and overcome? Mighty is the power of the cross.,cea00424ced413c108d878b1a14f3316,2,2,,NA,,yes,3,-4
i'm so tierd im going to go back to sleep on the bus.....................................................................,cd86d1e6d68c3770eaec0db419dceb2f,1,2,,3,,yes,1,-1
poor cindy! i was at her house and she got the sumic flu! poor lil baby! i hope i dont get it or any of our girls!!i hope she gets over it! we were waching new moon when i had to go! we were at the end and she started to get sick again and i had to go!,cd86d1e6d68c3770eaec0db419dceb2f,1,2,,4,,yes,4,-3
Did you forget That was even alive Did you forget Everything we ever had Did you forget Did you forget About me Did you regret Ever standing by my side Did you forget What we were feeling inside Now I'm left to forget About us,cd86d1e6d68c3770eaec0db419dceb2f,2,2,,NA,,yes,1,-2
"I can't get to sleep i think about the implications, of diving in too deep and possibly the complications. Especially at night i worry over situations, know i'll be alright perhaps its just imagination",cd35474fa3c10b9a5eb16c1e7d825fcc,1,1,,3,what if..,yes,2,-4
"I'm your dream, make you real. I'm your eyes when you must steal. I'm your pain when you can?'t feel. Sad but true.",cd35474fa3c10b9a5eb16c1e7d825fcc,1,2,,1,,yes,2,-4
"Doctor Foster went to Gloucester, good thing too as i plan on kidney transplant up there when i'm getting ruined with the lads",cd35474fa3c10b9a5eb16c1e7d825fcc,2,2,,NA,,yes,3,-2
"I am sexy, beautiful and have the perfect body. am everyone's first choice, but I'm ME and don't pretend to be anyone else. You may not be proud of you but like me you are proud of who am TODAY and EVERYDAY!! MAY NOT BE EXACTLY WHERE WANT TO BE, BUT THANK GOD THAT HE MADE ME. Copy this and post it to your profile if you are proud to be arrogant and perfect.",cd35474fa3c10b9a5eb16c1e7d825fcc,2,2,,NA,,no,4,-3
loves good fight and loves getting bit of blood spilt only shame is he cant remember the details anymore,cd35474fa3c10b9a5eb16c1e7d825fcc,2,2,,NA,,yes,4,-3
"When someone accuses me of not wearing underwear, should ignore them. Attempting to prove them wrong is indecent. Especially if can't.",cd35474fa3c10b9a5eb16c1e7d825fcc,2,2,,NA,,yes,1,-3
"You don't have to leave the lights on I'm so used to being blind No more goodbyes or yesterdays So it's I'll see you tomorrow, I'll see you tomorrow",cd35474fa3c10b9a5eb16c1e7d825fcc,2,2,,NA,,yes,1,-2
"Just told three freshmens to shut their mouth in the library...now every once in while they over at me all scared, lol, anyway Im up to eight pages now, YAY!!!!",ccd134a9a901e5562f3dff0f69305eba,1,2,,2,,yes,2,-5
Beth-Elohim SDA Annuel Summer Trip this year at Six Flags Hurricane Harbor in New Jersey on Sunday July th. Price $ . Please contact me if your interested,ccd134a9a901e5562f3dff0f69305eba,2,2,,NA,,no,3,-1
"okay so i've taken every final and submitted every paper, the semester is finally over and there is no going back!!",ccd134a9a901e5562f3dff0f69305eba,2,2,,NA,,yes,2,-1
Maybe should've gone to the Library with David to work on my research paper. ended up falling asleep...,cc806a0d9b84a31064d0370797e7237e,1,2,,2,,yes,1,-1
":: ahh finals week: papers due, finals, poster presentation, group conference, respite care, neuro-psych results, plus the /normal/"" weekly activities.....is it Saturday yet?? :-|""",cb02460576e27f95654a9a0ef548fe5b,1,2,,3,,yes,2,-1
is smiling through her tears when she thinks of Dave Strickland joining her grandfather in heaven....both of these wonderful men are greatly missed!,cb02460576e27f95654a9a0ef548fe5b,1,2,,2,,yes,4,-4
"||Don?'t ask what the world needs. Ask what makes you come alive, and go do it. Because what the world needs is people who have come alive.|| ~Howard Thurman ????-????-???",cb02460576e27f95654a9a0ef548fe5b,2,2,,NA,,no,1,-1
"I hope you're happy! hope you're happy now! hope you're happy how you hurt your cause forever, hope you think you're clever!",ca4591994c00795feecfdf8c5d96d6c9,1,2,,3,,no,4,-3
"It has been eighty-eight days since that unseen catastrophe. Eighty-eight days, and still no answer as to why. still feel the reverberations even today. When will this silence end? Say the word, make request...Anything, so long as can hear that voice again.",ca4591994c00795feecfdf8c5d96d6c9,1,2,,3,,yes,1,-4
"You crack open the cookie and get the little note out. It seems old and posessed. You start reading the inscription and get the feeling of butterflies flying around in your belly. /The greatest danger could be your stupidity. /""""",ca4591994c00795feecfdf8c5d96d6c9,1,2,,2,,yes,3,-3
"...during the silences of practice, between the buzzing and the ringing and yelling of obscenities. xD",ca4591994c00795feecfdf8c5d96d6c9,2,2,,NA,,yes,1,-1
"And tomorrow we'll go through all the motions again, and hope that someday in the far future things'll get better.",ca4591994c00795feecfdf8c5d96d6c9,2,2,,NA,,no,3,-1
is it stupid feel sorry for chocolate bunny? feel like should at least eat the head to like...put it out of its misery.,ca4591994c00795feecfdf8c5d96d6c9,2,2,,NA,,yes,2,-3
"It is currently the Aztec month of Teotleco. If we lived in Aztec times, we would be celebrating the return of the Gods to their cities. If you were an Aztec merchant, you would likely be sacrificing great number of slaves to the god of travel, Yacatecuhtli.",ca4591994c00795feecfdf8c5d96d6c9,2,2,,NA,,yes,3,-1
"Well, look at you, Finn. /I'm tired of carrying the male vocals by myself./""? GTFO and take step back - if you think you treat women badly",ca4591994c00795feecfdf8c5d96d6c9,2,2,,NA,,yes,2,-2
"What is the most resilient parasite? Bacteria? Virus? An intestinal worm? An idea. Once an idea has taken hold in the brain, it is nearly impossible to eradicate.",ca4591994c00795feecfdf8c5d96d6c9,2,2,,NA,,no,1,-3
when i tried to put hot sauce on my eggs it slipped and accidently put hot sauce on my fruit.......still ate it.,c9fe42c8399927c29f1ad2f5ed1c6551,1,2,,1,,no,1,-2
"I am feeling better. understand everything. will always be there for her as friend. understand everything now. Kat, don't be hating yourself. It is not your fault. Not my fault. It was just not meant to be right now. will always be there to help you. just needed day to myself. To just vent and think. And always was going to be your friend. It hurt but know it was needed. Thank you.",c70b15854118907c8f0a234e2ba44bbc,1,2,,4,,mixed,2,-4
"I don't care about the meeting, will go, and will do it, and it will be what it is. am worried about more things than that.",c70b15854118907c8f0a234e2ba44bbc,1,2,,2,,no,1,-4
Oh sigh. Tomorrow another day. got fracking headache. haha. Oh sigh. Misses me gal. Talk to her later hopes. haha. Sigh. Well thats all. am hating headaches.,c70b15854118907c8f0a234e2ba44bbc,1,2,,2,,yes,2,-4
Happy Bday to me! Woot woot. years old. It is going to be fun tomorrow. idk why. lol. Overall was good enough day.,c70b15854118907c8f0a234e2ba44bbc,2,2,,NA,,yes,4,-1
"I know for sure, that we are moving to hartford, just don't know where in hartford. Got to look at the last houses today, and then we will choose.",c70b15854118907c8f0a234e2ba44bbc,2,2,,NA,,no,1,-1
So. Guess not working nd shift. Going to be at the clinic to help out. Woohoo. Haha and get payer nd shift salary.,c70b15854118907c8f0a234e2ba44bbc,2,2,,NA,,no,2,-4
I'm BAAAAAAAACK...the world can now end. This is the first sign of the apocalypse (the next is me seeing Lady Gaga without trying to kill her),c562aeacd0cbd5e85624ce092d782452,1,2,,3,,yes,2,-2
"i wish i had universal time clicker like the movie /click/"" so i could fast forward past the next two weeks and be done with it w//out having to be there putting up with it! ://""",c3dcf614104a24210bfac607cd63a9f2,1,2,,2,,yes,3,-1
"Police officers work day and night to keep us safe, missing their families to care for ours. To date in there have been police officers killed in the line of duty. This is Police Appreciation week. Please repost this if you are PO or appreciate Law Enforcement Officer... Thanks ALL! minutes ago ?E Comment ?ELikeUnlike",c3dcf614104a24210bfac607cd63a9f2,1,2,,3,,yes,3,-4
"can't wait to perform scenes for drama tomorrow! i'll be playing year old girl named laurie in /brighton beach memoirs/""! :)""",c3dcf614104a24210bfac607cd63a9f2,2,2,,NA,,no,3,-1
i'm getting my braces off tomorrow! though this will probably be little wierd since i've been so used to having them...,c3dcf614104a24210bfac607cd63a9f2,2,2,,NA,,yes,2,-1
good morning monday! went to leave for work and my car wouldn't start. hopefully today will get better. =),c125b54a3d0931c9088487082c8dcb3a,1,2,,1,,yes,4,-1
Think of someone you know or love who has MS. My prayer is that in cure will be found. Will you post it? Just one hour. Do it for all of us. There are too many to mention who have fought and are fighting it. hope to see this in the status of all my friends.,c125b54a3d0931c9088487082c8dcb3a,2,2,,NA,,yes,3,-3
WOW!! It has been such fun weekend! enjoyed every second of it! There is nothing better than being around those love! Thank you everyone! =),c125b54a3d0931c9088487082c8dcb3a,2,2,,NA,,yes,4,-1
"Beat Dead Space again. Now have to beat it on Hard Core for the last Achievement. saves, no checkpoints, no New Game+...yeah, it's gonna be hard.",c09f6695e155f4eda37e853b52e34de7,2,2,,NA,,yes,2,-1
"I hear they're showing the new Harry Potter movie after the premier of The Dark Knight Rises teaser tomorrow. Should be good...the teaser, mean.",c09f6695e155f4eda37e853b52e34de7,2,2,,NA,,yes,3,-2
"Star Wars: The Force Unleashed II is next. Also looking forward to playing Beyond Good & Evil on Xbox Live Arcade(never got chance to play it on GameCube), and Dragon Age II isn't too far away.",c09f6695e155f4eda37e853b52e34de7,2,2,,NA,,yes,2,-1
Is having trouble sleeping because of this sunburn! You would think years of my Mummy telling me to put on sunblock would've reminded me!,c0289bdb4cd4eda90653b2c84af61e03,1,2,,2,,yes,2,-3
"Just walked out the doors of Target...and have to be back at work in hours. Do really have time to eat, shower, and sleep?",c0289bdb4cd4eda90653b2c84af61e03,1,2,,2,,yes,1,-1
My computer keeps shutting down in the middle of really important stuff ='((( Realized something though: few months ago would've yelled and cried...now I'm just going to take break =) Yay!,c0289bdb4cd4eda90653b2c84af61e03,1,2,,2,,yes,3,-4
So exhausted from these past weeks. All the worrying and waiting made me so tired. I'm so glad Mummy is doing so much better but miss her so much! hope things go well at the doctor's for Brandon tomorrow and maybe he won't need surgery! Gonna try to get good night's sleep before work tomorrow! It's so nice to be back to my Bethany < already miss Brandon though!,c0289bdb4cd4eda90653b2c84af61e03,1,2,,3,,yes,4,-4
woke up with horrible headache =( Probably because I'm pathetic and get headaches if stay up past ...Cleaning again today =),c0289bdb4cd4eda90653b2c84af61e03,1,2,,2,,yes,2,-4
"Delicious Blueberry Muffin for breakfast :) Work at , gotta clean my room and my car, then grocery shopping. Fun filled day if do say so myself :p",c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,yes,2,-1
"Feels amazing after pretty decent hours of sleep =D love waking up to page long text from the boy next to me telling me how much he loves me! Going to Bradenton with Brandon today to look around LECOM and the nearby apartments then back to Orlando tonight so we can get an early start at Hollywood Studios tomorrow! ? Brandon, Madeline, Heather, Katie! =)",c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,yes,4,-1
Had great time at Carrie's baby shower! Minus the whole being deathly sick thing. Baby showers make me < babies :),c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,yes,4,-3
Happy st Birthday to my amazing wonderful beautiful big sister Heather Morgan! Happy Valentines Day < love you Brandon Gilmore!,c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,yes,5,-1
Has an icky tummy bug =( Going back to sleep for while then spending the rest of the afternoon cleaning//organizing my room! Watching more of The Office with Brandon tonight < love him so much! He's amazing! Happy months baby! =D,c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,no,4,-4
is absolutely exhausted after the gym =//// Maggie completely kicked my butt! Gonna watch The Best Little Whorehouse in Texas with mummy and Maimee < Much happier today! Happy Birthday Liz!!!,c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,yes,4,-4
Just had wonderful hour long conversation with my little sister because it's her th birthday! Happy Birthday Kyla Fletcher! =D,c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,no,4,-1
"Mummy and Brandon are both back in bed and asleep, Maimee is comfy and snoring, Kitchen is clean, and took lovely shower :) Time to relax until am needed again!",c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,no,4,-1
Shrek Forever After has the best soundtrack! Awesome movie! :) have the best friend//boyfriend in the whole universe! He makes everyday wonderful!,c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,yes,5,-1
Will not be going to my second class because my teacher is smart! =D Tornado = Don't Drive! Good Job!,c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,yes,4,-1
It's really heartbreaking when your child feels sad at school because of what other kids say to them..,bfc3de1ae3ba2894b44311621bdd26c8,1,2,,3,,yes,1,-5
Finished canning jars of cherries and now am making cherry pies and freezing them..lots of work but satisfying....:),bfc3de1ae3ba2894b44311621bdd26c8,2,2,,NA,,yes,2,-1
Getting up and ready for another Bountiful Basket Co-op Day!!!...Hopefully the snow won't be problem for our truck and that we good some great volunteers...The past few times its been so nice!! love being part of the whole thing...:),bfc3de1ae3ba2894b44311621bdd26c8,2,2,,NA,,no,4,-2
"Had great day taking the kids swimming then to mcdonalds just to go to do some grocery shopping now we are cleaning up for family movie...Too bad that it's not Friday today, because Really want to stay home tomorrow and keep having great time with my kids!..:)",bfc3de1ae3ba2894b44311621bdd26c8,2,2,,NA,,yes,4,-2
Just finished with Bountiful baskets this morning and Caden's birthday party...So happy that couple of his class mates came...it really made ihis day to have his cousins and friends here...:),bfc3de1ae3ba2894b44311621bdd26c8,2,2,,NA,,no,2,-1
"look at them yoyo's that's the way you do it, playin the guitar on the mtv, that ain't workin, that's the way you do it, money for nothin and chicks for free",beeb68b947eaec4a55a9d8d20a7c5b52,2,2,,NA,,yes,1,-1
The line it is drawn The curse it is cast The slow one now Will later be fast As the present now Will later be past The order is Rapidly fadin'. And the first one now Will later be last For the times they are a-changin'.,beeb68b947eaec4a55a9d8d20a7c5b52,2,2,,NA,,yes,1,-2
god damn it i studied my ass of for the chem term test and i only got % the only consolations is that the average for all the classes was % but omg all that work for C grade jeeze,bc619f7cbbdb1806e386554e4b33a439,1,1,,3,unfair comparison,yes,2,-2
"Robin: /You can't get away from Batman that easy!/"" Batman: /""Easily./"" Robin: /""Easily./"" Batman: /""Good grammar is essential",bc619f7cbbdb1806e386554e4b33a439,2,2,,NA,,no,2,-1
"Sad day - but happy memories - mixed emotions. Thinking of Vicky Dobbins and all her family and friends today. Missed always, gone... but NEVER forgotten",b86eb14612969b2df48c2863c32c2899,1,2,,2,,mixed,2,-2
"I hate watching the ones I love most keep making horrible mistakes, knowing nothing I can say will help. people... are idiots.",b6f1257ff213585723c66e253d2b92f7,1,1,,4,mind reading: knowing nothing I say could help. (They won't listen to me),yes,3,-4
Took me fifty minutes to do my math homework.... really hate math. At least another more days of school left... Days of math... Great.,b6f1257ff213585723c66e253d2b92f7,1,2,,4,,yes,3,-5
Wondering wether except request from my lovely cousin's BESTEST buddie Alon... From what I've heard... It would not be wise...,b6f1257ff213585723c66e253d2b92f7,1,2,,1,,yes,2,-1
Looks as if my Grandma {Who now has facebook} cut my wonderful cousin out of picture and it's just me... Sorry wonderful sistah 'o mine.,b6f1257ff213585723c66e253d2b92f7,2,2,,NA,,yes,3,-2
Third time watching the Prisoner of Azkaban this week... feel special. It is by far the best Harry Potter book and movie.,b6f1257ff213585723c66e253d2b92f7,2,2,,NA,,yes,2,-1
"Say what you want and be who you are, because those who mind don't matter and those who matter don't mind. - Dr Seuss",b6ea475ea79a0bea100517cb4103f3e6,1,1,y,2,overgeneralization,yes,1,-1
"Back-In- ' the John Belushi, did the Chris Foley, in did the Cloverfield Monster, said /Fuck that shit!/"" and went back to the Belushi!""",b5efdb17945bc5ac2504e6c0c70f41b1,1,2,,2,,yes,2,-4
Geh....woke up at : in case my boss called me in for work since was backup....I didn't so that was waste of sleep.,b5efdb17945bc5ac2504e6c0c70f41b1,1,2,,2,,yes,1,-2
Why is it that on question quizzes manage to miss one of the large point questions utterly destroying my grad....,b5efdb17945bc5ac2504e6c0c70f41b1,1,2,,3,,yes,2,-3
Go to your profile. The first five friends on the sidebar are your team for the upcoming zombie apocalypse. How screwed are you? Elizabeth Tomlinson Andrew Vessey Kevin Koops Daniel Skaggs Riley Burkart Easy victory!,b5efdb17945bc5ac2504e6c0c70f41b1,2,2,,NA,,yes,2,-1
Would it be bad manners to yell at couple who are making out on the top of hill visible from just about everywhere?,b5efdb17945bc5ac2504e6c0c70f41b1,2,2,,NA,,no,1,-2
"I hate growing my hair out, learned my lesson when it comes to buzzing the back of my hair...I look like was plugged in to light socket right now....in weird mood...felt good to tell Megan to shove her appology up her ass.. :)",b5e2618b5f098dd6f94f794f354b1815,1,2,,3,,yes,3,-4
"I have spider bite on my shoulder and leg, may actually take baseball bat to my bed tonight to make sure the fucker doesn't bite again, just gotta avoid the kitties. :D",b5e2618b5f098dd6f94f794f354b1815,1,2,,3,,yes,1,-3
"Lol, omg, just scared the beejezus outta my poor daughter, think the kid actually stayed in the air for couple seconds!",b5e2618b5f098dd6f94f794f354b1815,2,2,,NA,,yes,2,-4
love when ppl lie. love when ppl make friends choose. love when they accuse of something thats not true. love when someone makes seem like that bad person. heres thought to u. look in the mirror. tell ur lies. make ppl choose make them beleive. cuz when have the ppl who know the truth and they back up. ur going to fall. then my questions is? whos the real person?,b5e0570319ccd1001134bb7060a676cf,1,2,,3,,yes,3,-3
"today was great.nice hike and chad ischiling with his uncle and ousini think. i hope heshaving greattime. chilling with my cousins, danielle sommer, lacy swain and joe joe.plus my aunt cindy",b5e0570319ccd1001134bb7060a676cf,2,2,,NA,,no,3,-1
"...ok, no longer emo...again. completely pissed and miserable all day because of some stupid error in communication...forgive me for that scolding, max!",b57dcbe1b484eb302cb9da59bf83f6a2,1,1,,4,negative filter,yes,3,-4
"is happy to FINALLY have winter break with NO HW!!! :D (Unless I'm totally forgetting something, in which case, will thank you in advance for reminding me of what it is I've apparently forgotten...)",b57dcbe1b484eb302cb9da59bf83f6a2,2,2,,NA,,no,3,-1
the best part is i get to miss the first two periods of school tomorrow!!! yay no geo and bio!!! especially bio :D,b57dcbe1b484eb302cb9da59bf83f6a2,2,2,,NA,,yes,3,-2
"Delegates from the original states formed the Contented Congress. Thomas Jefferson, Virgin, and Benjamin Franklin were two singers of the Declaration of Independence. Franklin discovered electricity by rubbing two cats backward and declared, /A horse divided against itself cannot stand./"" Franklin died in and is still dead.""",b4d522888bedf4d3f50119d3f49aaddd,2,2,,NA,,yes,1,-3
So woke up at : to the realization that there was huge bee in my room..... still can't figure out how bugs get in there.....,b4a7ca4e53a9899c4656ca8a2b1b12aa,2,2,,NA,,no,1,-1
I hadn't realized how much of myself had lost in the past couple of years. stopped painting & writing. stopped producing videos about child abuse & responding to the emails produced from those videos. was completely in survival mode all over again but this time with different family & was an adult.,b2a89377dd5345b6690ba62f4ecca84e,1,2,,3,,yes,1,-4
"I think we're over the half way mark as far as the truck being loaded. It's shame but have to worry slightly about our stuff already in the truck because we have Betty Poop on one side of us and an apartment on the other side that supplies our neighborhood with steady stream of druggies. seriously feel like Salem and this house are saying, /GET OUT!/""""",b2a89377dd5345b6690ba62f4ecca84e,1,2,,2,,yes,3,-4
"Ok, I'm done with IE. I'm sick of having to fix this or download this every single time they have updates.",b2a89377dd5345b6690ba62f4ecca84e,1,2,,3,,yes,1,-2
"I'm off to bed. Now that Colin is working & the kids are in school my days start at : am. I'm happy with that though. I've did my chores, cooked dinner, wrote words and had latin lesson today. :)",b2a89377dd5345b6690ba62f4ecca84e,2,2,,NA,,no,2,-3
"Salve! am off for bit to make Cheesy Broccoli Soup (or as the kids call it, Cheesy Tree Soup). spent little too long on Latin today but it would be nice to string all the words know into some sort of phrase that makes sense. Vale.",b2a89377dd5345b6690ba62f4ecca84e,2,2,,NA,,yes,3,-1
We wanted to celebrate today so we ordered Calzones and Pizza from Star Pizza. YUM!! It was the best pizza ever!,b2a89377dd5345b6690ba62f4ecca84e,2,2,,NA,,no,3,-1
Half of my power still doesnt work in my house and my rent money was stolen! Why do keep giving second chances when know am not suppose to cast my pearls before swine?,b15cf300b5693210682e36cfe5f9789b,1,2,,3,,yes,1,-3
"Are you sniffling and sneezing during the winter and you don't know why? It could be that you have an allergy to certain molds. Once in while mold problem in the home, which can be controlled, is the cause of allergies ?-kind of like dust.",b15cf300b5693210682e36cfe5f9789b,2,2,,NA,,yes,2,-2
COPY THIS INTO YOUR STATUS AND SEE WHAT PEOPLE RATE YOU!!! ) Crazy. ) I'd Marry You. ) Talkative. ) Sarcastic. ) Miss You. )Dizzy. ) Moody. ) Dumb. ) Mouthy. ) Spoilt. ) Random. ) Hot. ) Funny. ) Fit. ) Amazing. )Tough. ) Cute. ) Gf//Bf Type. ) Player. ) Love You. ) The Best. ) Couldnt Live Without u.,b15cf300b5693210682e36cfe5f9789b,2,2,,NA,,no,2,-1
"The storm is his vessel... The strikes of lightning as stripes he took upon himself so that we may be healed, The thunder his voice declaring /It is finished/"" The rain falling clear as his blood is pure and the Strong Wind is his Holy Spirit sent out to us.""",b15cf300b5693210682e36cfe5f9789b,2,2,,NA,,no,1,-2
Wishing my computer was fixed. Anyone wanna fix it for me as an early birthday present? My day is on the second of september!,b15cf300b5693210682e36cfe5f9789b,2,2,,NA,,yes,2,-1
What's more annoying is when you see people on the library computer AND ON THEIR OWN LAPTOP AT THE SAME TIME. The library needs print express area.,b121d90e407cd597da17491f36e7b2c5,1,2,,2,,yes,1,-3
"Yesterday, the one time don't check class cancellations, the first class is cancelled. Today, check class cancellations, and the first class is cancelled. She told us only by e-mail which don't check before go to my first class. walked all the way to Hunt for no reason. >:(",b121d90e407cd597da17491f36e7b2c5,1,2,,4,,yes,1,-2
"I look out the window, and lo and behold, see Quailman running back and forth doing some somersaults, too.",b121d90e407cd597da17491f36e7b2c5,2,2,,NA,,yes,1,-1
So ... sneak into your window while you're sleeping ... invade your mind and rape your dreams ... Tell me ... How does that make you *feel*?,b0e2b88d357007e73e1f12f3029a48eb,1,2,,2,,yes,1,-4
Im starting to think im tool ... Thats fine though ... As long as im well used and not tucked away on shelf somewhere,b0e2b88d357007e73e1f12f3029a48eb,2,2,,NA,,no,3,-1
so i started this ap essay at around . it`s and i have paragraph and half done. why doesn`t this sound right.,b0acac95493fc438ce56372eebde2b0e,1,2,,1,,yes,1,-1
"it`s really awkward when some college calls and starts telling you all these good things about this school, and then you tell them you`re not going to apply there.",b0acac95493fc438ce56372eebde2b0e,2,2,,NA,,yes,3,-3
"sub first period again, seriously ? i'm just not gonna go to first period tomorrow ; more sleep for me.",b0acac95493fc438ce56372eebde2b0e,2,2,,NA,,no,1,-1
Finally back! feels good to be home although i must admit days of vacation thanks to the flood wasnt so bad,aed86a3085a364f5484679649f064467,2,2,,NA,,yes,3,-2
I love my mom! For all of you that aren't too proud to say thank you to your moms for helping you be the great person you are today... please copy and paste to your profile! expect to see this many times on my page,aed86a3085a364f5484679649f064467,2,2,,NA,,yes,4,-1
"If you believe in Jesus Christ put this on your wall. Don't just ignore this because the Bible says, if you deny him, he will deny you in front of his father at the gates of Heaven. This is simple test. If you loveGod and you are not ashamed then copy this to your wall.",aed86a3085a364f5484679649f064467,2,2,,NA,,yes,1,-2
so last night's trueblook was pretty good...a lot of shit came out and the kiss between Eric and Sookie was hot...cant wait for the last episodes!,aed86a3085a364f5484679649f064467,2,2,,NA,,yes,3,-3
What does the C.O.L.T.S. stand for?....Count On Losing The Superbowl...if your true saints fan pass it on! GO SAINTS!!!,aed86a3085a364f5484679649f064467,2,2,,NA,,yes,3,-1
everyone come to the everyone come to the Chick-Fil-A on highway (by screenplay) !!!!and come to the car wash!!!!!!:):):):) our JROTC program is having carwash come and get you car washed.,ad30ce6078fd6ea54abca85610fba76f,2,2,,NA,,yes,2,-1
"/Kill everyone! Condone first degree murder! Advocate cannibalism! Eat shit! Filth are my politics! Filth is my life! Take whatever you like!/"" - Divine < """,ab46b30d5f936aa0c0749b9fc45db42f,1,1,y,5,negative filter,yes,3,-5
"/What do you want from humanity? Are we hollowed and stained? Maybe we're all just useless or maybe we're all INSANE.../""""",ab46b30d5f936aa0c0749b9fc45db42f,1,1,y,2,all-or-nothing,yes,1,-2
Did anyone else know that Iran banned the mullet? That's the one thing they've done that actually agree with.,ab46b30d5f936aa0c0749b9fc45db42f,2,2,,NA,,yes,1,-1
has chorus audtions for Tuscarora next year and is nervous as freaking hell right now xP hope at least someone will wish me luck haha.,ab46b30d5f936aa0c0749b9fc45db42f,2,2,,NA,,yes,3,-3
